episode,reward,episode_length
0,23.0,23
1,16.0,16
2,16.0,16
3,36.0,36
4,10.0,10
5,19.0,19
6,51.0,51
7,36.0,36
8,9.0,9
9,42.0,42
10,15.0,15
11,15.0,15
12,41.0,41
13,19.0,19
14,12.0,12
15,14.0,14
16,24.0,24
17,13.0,13
18,10.0,10
19,17.0,17
20,13.0,13
21,31.0,31
22,15.0,15
23,15.0,15
24,25.0,25
25,22.0,22
26,34.0,34
27,19.0,19
28,13.0,13
29,14.0,14
30,15.0,15
31,32.0,32
32,18.0,18
33,23.0,23
34,19.0,19
35,14.0,14
36,12.0,12
37,30.0,30
38,14.0,14
39,12.0,12
40,54.0,54
41,14.0,14
42,28.0,28
43,13.0,13
44,22.0,22
45,21.0,21
46,21.0,21
47,20.0,20
48,32.0,32
49,18.0,18
50,12.0,12
51,26.0,26
52,31.0,31
53,10.0,10
54,24.0,24
55,15.0,15
56,55.0,55
57,18.0,18
58,14.0,14
59,23.0,23
60,24.0,24
61,11.0,11
62,13.0,13
63,14.0,14
64,11.0,11
65,14.0,14
66,20.0,20
67,24.0,24
68,15.0,15
69,14.0,14
70,40.0,40
71,14.0,14
72,11.0,11
73,23.0,23
74,15.0,15
75,27.0,27
76,24.0,24
77,33.0,33
78,27.0,27
79,16.0,16
80,39.0,39
81,35.0,35
82,30.0,30
83,27.0,27
84,35.0,35
85,12.0,12
86,38.0,38
87,31.0,31
88,22.0,22
89,26.0,26
90,27.0,27
91,16.0,16
92,35.0,35
93,19.0,19
94,12.0,12
95,13.0,13
96,21.0,21
97,12.0,12
98,14.0,14
99,15.0,15
100,8.0,8
101,9.0,9
102,9.0,9
103,10.0,10
104,9.0,9
105,9.0,9
106,10.0,10
107,10.0,10
108,10.0,10
109,10.0,10
110,10.0,10
111,8.0,8
112,9.0,9
113,10.0,10
114,10.0,10
115,10.0,10
116,11.0,11
117,9.0,9
118,9.0,9
119,10.0,10
120,10.0,10
121,10.0,10
122,10.0,10
123,9.0,9
124,10.0,10
125,10.0,10
126,9.0,9
127,10.0,10
128,10.0,10
129,10.0,10
130,10.0,10
131,9.0,9
132,9.0,9
133,10.0,10
134,8.0,8
135,10.0,10
136,10.0,10
137,10.0,10
138,10.0,10
139,9.0,9
140,10.0,10
141,9.0,9
142,10.0,10
143,11.0,11
144,10.0,10
145,10.0,10
146,11.0,11
147,8.0,8
148,11.0,11
149,9.0,9
150,10.0,10
151,10.0,10
152,10.0,10
153,11.0,11
154,10.0,10
155,9.0,9
156,9.0,9
157,8.0,8
158,10.0,10
159,12.0,12
160,11.0,11
161,13.0,13
162,10.0,10
163,10.0,10
164,10.0,10
165,14.0,14
166,12.0,12
167,12.0,12
168,14.0,14
169,13.0,13
170,11.0,11
171,11.0,11
172,13.0,13
173,15.0,15
174,11.0,11
175,10.0,10
176,14.0,14
177,13.0,13
178,14.0,14
179,17.0,17
180,13.0,13
181,18.0,18
182,15.0,15
183,13.0,13
184,15.0,15
185,13.0,13
186,14.0,14
187,15.0,15
188,18.0,18
189,13.0,13
190,16.0,16
191,12.0,12
192,15.0,15
193,18.0,18
194,20.0,20
195,22.0,22
196,21.0,21
197,20.0,20
198,18.0,18
199,23.0,23
200,23.0,23
201,20.0,20
202,21.0,21
203,25.0,25
204,28.0,28
205,25.0,25
206,23.0,23
207,38.0,38
208,57.0,57
209,42.0,42
210,66.0,66
211,33.0,33
212,45.0,45
213,33.0,33
214,48.0,48
215,26.0,26
216,25.0,25
217,38.0,38
218,45.0,45
219,35.0,35
220,103.0,103
221,71.0,71
222,90.0,90
223,54.0,54
224,26.0,26
225,41.0,41
226,29.0,29
227,33.0,33
228,27.0,27
229,66.0,66
230,65.0,65
231,81.0,81
232,42.0,42
233,68.0,68
234,29.0,29
235,39.0,39
236,24.0,24
237,25.0,25
238,23.0,23
239,35.0,35
240,33.0,33
241,74.0,74
242,46.0,46
243,46.0,46
244,51.0,51
245,42.0,42
246,83.0,83
247,48.0,48
248,47.0,47
249,36.0,36
250,29.0,29
251,30.0,30
252,25.0,25
253,112.0,112
254,30.0,30
255,31.0,31
256,39.0,39
257,30.0,30
258,112.0,112
259,32.0,32
260,98.0,98
261,23.0,23
262,29.0,29
263,78.0,78
264,38.0,38
265,50.0,50
266,33.0,33
267,91.0,91
268,78.0,78
269,69.0,69
270,27.0,27
271,40.0,40
272,82.0,82
273,27.0,27
274,60.0,60
275,42.0,42
276,26.0,26
277,38.0,38
278,55.0,55
279,43.0,43
280,30.0,30
281,29.0,29
282,28.0,28
283,27.0,27
284,46.0,46
285,36.0,36
286,76.0,76
287,32.0,32
288,56.0,56
289,36.0,36
290,74.0,74
291,48.0,48
292,63.0,63
293,58.0,58
294,63.0,63
295,45.0,45
296,40.0,40
297,31.0,31
298,43.0,43
299,33.0,33
300,56.0,56
301,38.0,38
302,32.0,32
303,46.0,46
304,98.0,98
305,46.0,46
306,64.0,64
307,27.0,27
308,160.0,160
309,33.0,33
310,40.0,40
311,74.0,74
312,36.0,36
