episode,reward,episode_length
0,26.0,26
1,24.0,24
2,16.0,16
3,12.0,12
4,31.0,31
5,20.0,20
6,14.0,14
7,14.0,14
8,17.0,17
9,9.0,9
10,16.0,16
11,11.0,11
12,30.0,30
13,18.0,18
14,37.0,37
15,16.0,16
16,17.0,17
17,20.0,20
18,10.0,10
19,10.0,10
20,12.0,12
21,15.0,15
22,19.0,19
23,18.0,18
24,18.0,18
25,13.0,13
26,10.0,10
27,9.0,9
28,50.0,50
29,15.0,15
30,34.0,34
31,57.0,57
32,14.0,14
33,34.0,34
34,9.0,9
35,16.0,16
36,13.0,13
37,14.0,14
38,17.0,17
39,16.0,16
40,13.0,13
41,13.0,13
42,14.0,14
43,15.0,15
44,17.0,17
45,14.0,14
46,38.0,38
47,24.0,24
48,22.0,22
49,51.0,51
50,20.0,20
51,13.0,13
52,19.0,19
53,18.0,18
54,15.0,15
55,36.0,36
56,27.0,27
57,65.0,65
58,11.0,11
59,11.0,11
60,11.0,11
61,14.0,14
62,17.0,17
63,14.0,14
64,46.0,46
65,20.0,20
66,14.0,14
67,28.0,28
68,16.0,16
69,22.0,22
70,16.0,16
71,18.0,18
72,12.0,12
73,12.0,12
74,17.0,17
75,12.0,12
76,29.0,29
77,13.0,13
78,18.0,18
79,14.0,14
80,11.0,11
81,38.0,38
82,43.0,43
83,27.0,27
84,14.0,14
85,15.0,15
86,12.0,12
87,17.0,17
88,11.0,11
89,10.0,10
90,13.0,13
91,13.0,13
92,18.0,18
93,30.0,30
94,18.0,18
95,14.0,14
96,17.0,17
97,23.0,23
98,15.0,15
99,11.0,11
100,8.0,8
101,10.0,10
102,9.0,9
103,10.0,10
104,9.0,9
105,10.0,10
106,10.0,10
107,9.0,9
108,10.0,10
109,11.0,11
110,10.0,10
111,10.0,10
112,9.0,9
113,9.0,9
114,10.0,10
115,10.0,10
116,8.0,8
117,9.0,9
118,8.0,8
119,10.0,10
120,8.0,8
121,9.0,9
122,10.0,10
123,10.0,10
124,10.0,10
125,10.0,10
126,10.0,10
127,10.0,10
128,9.0,9
129,9.0,9
130,10.0,10
131,9.0,9
132,10.0,10
133,9.0,9
134,10.0,10
135,10.0,10
136,10.0,10
137,8.0,8
138,10.0,10
139,10.0,10
140,9.0,9
141,10.0,10
142,9.0,9
143,10.0,10
144,9.0,9
145,9.0,9
146,8.0,8
147,10.0,10
148,10.0,10
149,9.0,9
150,9.0,9
151,10.0,10
152,10.0,10
153,10.0,10
154,9.0,9
155,10.0,10
156,10.0,10
157,10.0,10
158,9.0,9
159,9.0,9
160,10.0,10
161,9.0,9
162,9.0,9
163,9.0,9
164,10.0,10
165,9.0,9
166,9.0,9
167,10.0,10
168,9.0,9
169,10.0,10
170,8.0,8
171,10.0,10
172,9.0,9
173,9.0,9
174,9.0,9
175,10.0,10
176,9.0,9
177,9.0,9
178,9.0,9
179,12.0,12
180,11.0,11
181,11.0,11
182,12.0,12
183,14.0,14
