episode,reward,episode_length
0,12.0,12
1,12.0,12
2,15.0,15
3,15.0,15
4,26.0,26
5,16.0,16
6,48.0,48
7,19.0,19
8,17.0,17
9,19.0,19
10,13.0,13
11,18.0,18
12,40.0,40
13,9.0,9
14,22.0,22
15,27.0,27
16,18.0,18
17,26.0,26
18,25.0,25
19,17.0,17
20,22.0,22
21,10.0,10
22,11.0,11
23,71.0,71
24,32.0,32
25,29.0,29
26,15.0,15
27,14.0,14
28,49.0,49
29,51.0,51
30,57.0,57
31,15.0,15
32,17.0,17
33,15.0,15
34,14.0,14
35,28.0,28
36,24.0,24
37,27.0,27
38,71.0,71
39,14.0,14
40,64.0,64
41,11.0,11
42,13.0,13
43,14.0,14
44,16.0,16
45,11.0,11
46,18.0,18
47,65.0,65
48,20.0,20
49,14.0,14
50,26.0,26
51,29.0,29
52,17.0,17
53,16.0,16
54,31.0,31
55,37.0,37
56,17.0,17
57,13.0,13
58,12.0,12
59,26.0,26
60,20.0,20
61,11.0,11
62,11.0,11
63,13.0,13
64,19.0,19
65,42.0,42
66,11.0,11
67,32.0,32
68,15.0,15
69,12.0,12
70,64.0,64
71,13.0,13
72,18.0,18
73,18.0,18
74,12.0,12
75,16.0,16
76,46.0,46
77,20.0,20
78,13.0,13
79,36.0,36
80,37.0,37
81,65.0,65
82,33.0,33
83,19.0,19
84,27.0,27
85,14.0,14
86,10.0,10
87,12.0,12
88,16.0,16
89,43.0,43
90,15.0,15
91,54.0,54
92,14.0,14
93,20.0,20
94,23.0,23
95,20.0,20
96,11.0,11
97,30.0,30
98,21.0,21
99,68.0,68
100,10.0,10
101,9.0,9
102,10.0,10
103,10.0,10
104,9.0,9
105,9.0,9
106,10.0,10
107,10.0,10
108,10.0,10
109,9.0,9
110,8.0,8
111,10.0,10
112,9.0,9
113,9.0,9
114,10.0,10
115,9.0,9
116,9.0,9
117,10.0,10
118,10.0,10
119,10.0,10
120,10.0,10
121,8.0,8
122,10.0,10
123,8.0,8
124,9.0,9
125,9.0,9
126,10.0,10
127,10.0,10
128,9.0,9
129,9.0,9
130,11.0,11
131,10.0,10
132,9.0,9
133,8.0,8
134,9.0,9
135,10.0,10
136,8.0,8
137,9.0,9
138,10.0,10
139,10.0,10
140,9.0,9
141,9.0,9
142,9.0,9
143,10.0,10
144,10.0,10
145,10.0,10
146,9.0,9
147,10.0,10
148,8.0,8
149,10.0,10
150,10.0,10
151,10.0,10
152,9.0,9
153,8.0,8
154,10.0,10
155,8.0,8
156,10.0,10
157,9.0,9
158,10.0,10
159,10.0,10
160,10.0,10
161,10.0,10
162,8.0,8
163,9.0,9
164,9.0,9
165,10.0,10
166,9.0,9
167,10.0,10
168,12.0,12
169,11.0,11
170,12.0,12
171,10.0,10
172,10.0,10
173,15.0,15
174,14.0,14
175,10.0,10
176,10.0,10
177,9.0,9
178,10.0,10
179,10.0,10
180,10.0,10
181,10.0,10
182,10.0,10
183,8.0,8
184,10.0,10
185,10.0,10
186,10.0,10
187,10.0,10
188,9.0,9
189,10.0,10
190,9.0,9
191,23.0,23
192,23.0,23
193,32.0,32
194,26.0,26
195,29.0,29
196,36.0,36
197,33.0,33
198,42.0,42
199,27.0,27
200,36.0,36
201,30.0,30
202,34.0,34
203,57.0,57
204,64.0,64
205,48.0,48
206,35.0,35
207,32.0,32
208,52.0,52
209,68.0,68
210,30.0,30
211,56.0,56
212,151.0,151
213,59.0,59
214,55.0,55
215,44.0,44
216,53.0,53
217,56.0,56
218,40.0,40
219,132.0,132
220,105.0,105
221,129.0,129
222,184.0,184
223,40.0,40
224,31.0,31
225,56.0,56
226,30.0,30
227,49.0,49
228,31.0,31
229,64.0,64
230,35.0,35
231,31.0,31
232,27.0,27
233,71.0,71
234,235.0,235
235,63.0,63
236,71.0,71
237,37.0,37
238,40.0,40
239,46.0,46
240,74.0,74
241,36.0,36
242,63.0,63
243,33.0,33
244,35.0,35
245,36.0,36
246,38.0,38
247,23.0,23
248,37.0,37
249,36.0,36
250,31.0,31
251,36.0,36
252,59.0,59
253,80.0,80
254,35.0,35
255,30.0,30
256,41.0,41
257,98.0,98
258,39.0,39
259,29.0,29
260,64.0,64
261,27.0,27
262,53.0,53
263,22.0,22
264,53.0,53
265,25.0,25
266,27.0,27
267,32.0,32
268,62.0,62
269,50.0,50
270,44.0,44
271,38.0,38
272,84.0,84
273,68.0,68
274,41.0,41
275,37.0,37
276,34.0,34
277,64.0,64
278,83.0,83
279,49.0,49
280,49.0,49
281,33.0,33
282,22.0,22
283,23.0,23
284,79.0,79
285,99.0,99
286,84.0,84
287,35.0,35
288,28.0,28
289,66.0,66
290,50.0,50
291,37.0,37
292,59.0,59
293,57.0,57
294,39.0,39
295,105.0,105
296,51.0,51
297,44.0,44
298,41.0,41
299,43.0,43
300,50.0,50
301,61.0,61
302,29.0,29
303,29.0,29
304,21.0,21
305,28.0,28
306,32.0,32
307,41.0,41
308,33.0,33
309,30.0,30
310,85.0,85
