episode,reward,episode_length
0,18.0,18
1,51.0,51
2,15.0,15
3,33.0,33
4,41.0,41
5,13.0,13
6,12.0,12
7,11.0,11
8,18.0,18
9,28.0,28
10,18.0,18
11,27.0,27
12,11.0,11
13,17.0,17
14,27.0,27
15,25.0,25
16,33.0,33
17,41.0,41
18,9.0,9
19,17.0,17
20,34.0,34
21,11.0,11
22,19.0,19
23,15.0,15
24,13.0,13
25,20.0,20
26,19.0,19
27,33.0,33
28,14.0,14
29,62.0,62
30,16.0,16
31,16.0,16
32,11.0,11
33,12.0,12
34,11.0,11
35,12.0,12
36,32.0,32
37,21.0,21
38,13.0,13
39,51.0,51
40,36.0,36
41,17.0,17
42,41.0,41
43,18.0,18
44,14.0,14
45,30.0,30
46,38.0,38
47,50.0,50
48,72.0,72
49,12.0,12
50,30.0,30
51,59.0,59
52,18.0,18
53,10.0,10
54,21.0,21
55,28.0,28
56,20.0,20
57,37.0,37
58,11.0,11
59,19.0,19
60,9.0,9
61,64.0,64
62,34.0,34
63,24.0,24
64,12.0,12
65,18.0,18
66,13.0,13
67,20.0,20
68,12.0,12
69,23.0,23
70,14.0,14
71,15.0,15
72,29.0,29
73,29.0,29
74,15.0,15
75,13.0,13
76,34.0,34
77,14.0,14
78,27.0,27
79,9.0,9
80,15.0,15
81,19.0,19
82,15.0,15
83,16.0,16
84,16.0,16
85,37.0,37
86,10.0,10
87,16.0,16
88,15.0,15
89,14.0,14
90,14.0,14
91,11.0,11
92,10.0,10
93,12.0,12
94,18.0,18
95,15.0,15
96,16.0,16
97,23.0,23
98,38.0,38
99,22.0,22
100,10.0,10
101,10.0,10
102,9.0,9
103,10.0,10
104,10.0,10
105,9.0,9
106,9.0,9
107,8.0,8
108,9.0,9
109,9.0,9
110,10.0,10
111,9.0,9
112,9.0,9
113,8.0,8
114,10.0,10
115,11.0,11
116,8.0,8
117,9.0,9
118,9.0,9
119,10.0,10
120,10.0,10
121,8.0,8
122,8.0,8
123,10.0,10
124,10.0,10
125,9.0,9
126,10.0,10
127,10.0,10
128,9.0,9
129,10.0,10
130,10.0,10
131,9.0,9
132,9.0,9
133,8.0,8
134,10.0,10
135,9.0,9
136,8.0,8
137,8.0,8
138,9.0,9
139,10.0,10
140,8.0,8
141,8.0,8
142,9.0,9
143,8.0,8
144,9.0,9
145,10.0,10
146,9.0,9
147,8.0,8
148,9.0,9
149,11.0,11
150,9.0,9
151,10.0,10
152,10.0,10
153,10.0,10
154,11.0,11
155,11.0,11
156,11.0,11
157,11.0,11
158,10.0,10
159,10.0,10
160,13.0,13
161,10.0,10
162,13.0,13
163,11.0,11
164,9.0,9
165,10.0,10
166,10.0,10
167,8.0,8
168,10.0,10
169,9.0,9
170,9.0,9
171,10.0,10
172,10.0,10
173,25.0,25
174,26.0,26
175,23.0,23
176,10.0,10
177,10.0,10
178,9.0,9
179,8.0,8
180,9.0,9
181,11.0,11
182,39.0,39
183,37.0,37
184,46.0,46
185,40.0,40
186,41.0,41
187,34.0,34
188,45.0,45
189,18.0,18
190,28.0,28
191,23.0,23
192,22.0,22
193,23.0,23
194,23.0,23
195,25.0,25
196,23.0,23
197,21.0,21
198,24.0,24
199,23.0,23
200,27.0,27
201,28.0,28
202,23.0,23
203,18.0,18
204,22.0,22
205,27.0,27
206,25.0,25
207,25.0,25
208,31.0,31
209,26.0,26
210,33.0,33
211,23.0,23
212,25.0,25
213,25.0,25
214,27.0,27
215,37.0,37
216,30.0,30
217,32.0,32
218,25.0,25
219,21.0,21
220,23.0,23
221,17.0,17
222,21.0,21
223,19.0,19
224,20.0,20
225,23.0,23
226,26.0,26
227,25.0,25
228,32.0,32
229,41.0,41
230,34.0,34
231,30.0,30
232,25.0,25
233,25.0,25
234,34.0,34
235,33.0,33
236,29.0,29
237,25.0,25
238,22.0,22
239,34.0,34
240,25.0,25
241,24.0,24
242,38.0,38
243,34.0,34
244,47.0,47
245,66.0,66
246,34.0,34
247,52.0,52
248,32.0,32
249,28.0,28
250,36.0,36
251,25.0,25
252,31.0,31
253,23.0,23
254,28.0,28
255,29.0,29
256,31.0,31
257,19.0,19
258,23.0,23
259,30.0,30
260,23.0,23
261,32.0,32
262,23.0,23
263,25.0,25
264,24.0,24
265,37.0,37
266,42.0,42
267,23.0,23
268,34.0,34
269,25.0,25
270,27.0,27
271,43.0,43
272,31.0,31
273,27.0,27
274,23.0,23
275,39.0,39
276,24.0,24
277,34.0,34
278,35.0,35
279,33.0,33
280,50.0,50
281,28.0,28
282,31.0,31
283,49.0,49
284,34.0,34
285,46.0,46
286,40.0,40
287,40.0,40
288,48.0,48
289,46.0,46
290,51.0,51
291,39.0,39
292,72.0,72
293,33.0,33
294,70.0,70
295,67.0,67
296,40.0,40
297,31.0,31
298,125.0,125
299,31.0,31
300,49.0,49
301,62.0,62
302,113.0,113
303,101.0,101
304,97.0,97
305,29.0,29
306,37.0,37
307,25.0,25
308,38.0,38
309,46.0,46
310,34.0,34
311,25.0,25
312,91.0,91
313,34.0,34
314,26.0,26
315,35.0,35
316,59.0,59
317,32.0,32
318,67.0,67
319,41.0,41
320,42.0,42
321,56.0,56
322,46.0,46
323,59.0,59
324,61.0,61
325,40.0,40
326,30.0,30
327,38.0,38
328,24.0,24
329,41.0,41
330,166.0,166
331,36.0,36
332,122.0,122
333,65.0,65
334,45.0,45
335,193.0,193
336,150.0,150
337,104.0,104
338,85.0,85
339,49.0,49
340,116.0,116
341,42.0,42
342,63.0,63
343,57.0,57
344,60.0,60
345,82.0,82
346,62.0,62
347,45.0,45
348,74.0,74
349,50.0,50
350,33.0,33
351,76.0,76
352,61.0,61
353,127.0,127
354,65.0,65
355,37.0,37
356,33.0,33
357,28.0,28
358,29.0,29
359,28.0,28
360,33.0,33
361,42.0,42
362,37.0,37
363,57.0,57
364,50.0,50
365,85.0,85
366,50.0,50
367,60.0,60
368,45.0,45
369,39.0,39
370,31.0,31
371,30.0,30
372,36.0,36
373,89.0,89
374,40.0,40
375,50.0,50
376,33.0,33
377,47.0,47
378,50.0,50
379,49.0,49
380,145.0,145
381,50.0,50
382,75.0,75
383,72.0,72
384,46.0,46
385,61.0,61
386,38.0,38
387,40.0,40
388,36.0,36
389,57.0,57
390,32.0,32
391,50.0,50
392,50.0,50
393,45.0,45
394,48.0,48
395,94.0,94
396,68.0,68
397,36.0,36
398,55.0,55
399,54.0,54
400,92.0,92
401,27.0,27
402,37.0,37
403,38.0,38
404,107.0,107
405,29.0,29
406,81.0,81
407,41.0,41
408,87.0,87
409,33.0,33
410,173.0,173
411,201.0,201
412,90.0,90
413,70.0,70
414,36.0,36
415,55.0,55
416,70.0,70
417,54.0,54
418,71.0,71
419,54.0,54
420,47.0,47
421,41.0,41
422,34.0,34
423,40.0,40
424,47.0,47
425,56.0,56
426,105.0,105
427,56.0,56
428,67.0,67
429,50.0,50
430,35.0,35
431,65.0,65
432,25.0,25
433,54.0,54
434,47.0,47
435,61.0,61
436,50.0,50
437,37.0,37
438,43.0,43
439,38.0,38
440,36.0,36
441,68.0,68
442,56.0,56
443,79.0,79
444,54.0,54
445,123.0,123
446,50.0,50
447,153.0,153
448,149.0,149
449,64.0,64
450,96.0,96
451,53.0,53
452,83.0,83
453,47.0,47
454,46.0,46
455,333.0,333
456,142.0,142
457,55.0,55
458,45.0,45
459,60.0,60
460,43.0,43
461,133.0,133
462,103.0,103
463,52.0,52
464,113.0,113
465,64.0,64
466,111.0,111
467,81.0,81
468,80.0,80
469,43.0,43
470,38.0,38
471,70.0,70
472,66.0,66
473,102.0,102
474,467.0,467
475,262.0,262
476,49.0,49
477,45.0,45
478,53.0,53
479,46.0,46
480,61.0,61
481,57.0,57
482,332.0,332
483,68.0,68
484,49.0,49
485,35.0,35
486,55.0,55
487,40.0,40
488,46.0,46
489,39.0,39
490,46.0,46
491,62.0,62
492,54.0,54
493,42.0,42
494,72.0,72
495,65.0,65
496,54.0,54
497,72.0,72
498,69.0,69
499,146.0,146
500,43.0,43
501,38.0,38
502,68.0,68
503,40.0,40
504,162.0,162
505,72.0,72
506,500.0,500
507,94.0,94
508,60.0,60
509,72.0,72
510,171.0,171
511,54.0,54
512,68.0,68
513,48.0,48
514,49.0,49
515,44.0,44
516,39.0,39
517,39.0,39
518,45.0,45
519,58.0,58
520,230.0,230
521,205.0,205
522,105.0,105
523,76.0,76
524,89.0,89
525,51.0,51
526,61.0,61
527,101.0,101
528,87.0,87
529,77.0,77
530,223.0,223
531,85.0,85
532,81.0,81
533,56.0,56
534,65.0,65
535,95.0,95
536,70.0,70
537,99.0,99
538,51.0,51
539,63.0,63
540,89.0,89
541,148.0,148
542,97.0,97
543,92.0,92
544,81.0,81
545,65.0,65
546,46.0,46
547,98.0,98
548,500.0,500
549,57.0,57
550,92.0,92
551,88.0,88
552,102.0,102
553,78.0,78
554,86.0,86
555,71.0,71
556,70.0,70
557,66.0,66
558,90.0,90
559,61.0,61
560,67.0,67
561,63.0,63
562,223.0,223
563,92.0,92
564,115.0,115
565,353.0,353
566,85.0,85
567,110.0,110
568,126.0,126
569,65.0,65
570,70.0,70
571,76.0,76
572,44.0,44
573,60.0,60
574,138.0,138
575,59.0,59
576,65.0,65
577,253.0,253
578,80.0,80
579,208.0,208
580,283.0,283
